user_id,play_iteration_id,episode_id,standard,instance,support_level,taskcount,task_id,task_description,why_important,time_completed
1,2,1,null,null,null,108,30,EPISODE EXIT,null,1/12/18 19:26
1,2,1,null,null,null,109,30,EPISODE EXIT,null,1/12/18 19:27
1,2,1,null,null,null,110,30,EPISODE EXIT,null,1/12/18 19:27
1,2,1,null,null,null,111,30,EPISODE EXIT,null,1/22/18 19:03
1,2,1,null,null,null,112,30,EPISODE EXIT,null,1/23/18 17:04
1,2,1,null,null,null,113,30,EPISODE EXIT,null,1/23/18 17:04
1,2,1,null,null,null,114,30,EPISODE EXIT,null,1/23/18 17:04
1,2,1,null,null,null,115,30,EPISODE EXIT,null,1/23/18 17:04
1,2,1,null,null,null,116,30,EPISODE EXIT,null,1/23/18 17:04
1,2,1,null,null,null,117,30,EPISODE EXIT,null,1/23/18 17:04
1,2,1,null,null,null,118,30,EPISODE EXIT,null,1/23/18 17:09
1,2,1,null,null,null,119,30,EPISODE EXIT,null,1/23/18 17:09
1,2,1,null,null,null,120,30,EPISODE EXIT,null,1/23/18 17:09
1,2,1,null,null,null,121,30,EPISODE EXIT,null,1/23/18 17:09
1,2,1,null,null,null,122,30,EPISODE EXIT,null,1/24/18 21:21
1,2,1,null,null,null,123,30,EPISODE EXIT,null,1/26/18 21:14
1,2,1,null,null,null,124,30,EPISODE EXIT,null,1/26/18 21:15
1,2,1,null,null,null,125,30,EPISODE EXIT,null,1/30/18 20:40
1,2,1,null,null,null,126,30,EPISODE EXIT,null,1/30/18 20:41
1,2,1,null,null,null,127,30,EPISODE EXIT,null,1/30/18 20:42
1,2,1,null,null,null,128,30,EPISODE EXIT,null,1/30/18 20:43
1,2,1,null,null,null,129,30,EPISODE EXIT,null,1/30/18 20:44
1,2,1,null,null,null,130,30,EPISODE EXIT,null,1/30/18 20:45
1,2,1,null,null,null,131,30,EPISODE EXIT,null,1/31/18 20:37
1,2,1,null,null,null,132,30,EPISODE EXIT,null,1/31/18 20:40
1,2,1,null,null,null,133,30,EPISODE EXIT,null,1/31/18 20:42
1,2,1,null,null,null,134,30,EPISODE EXIT,null,1/31/18 20:43
1,2,1,null,null,null,135,30,EPISODE EXIT,null,1/31/18 20:43
1,2,1,null,null,null,136,30,EPISODE EXIT,null,1/31/18 21:52
